9
no	x	y	z
1       0       0       0
2       100     0       0
3       100     100     0
4       0       100     0
5       0       0       100
6       100     0       100
7       100     100     100
8       0       100     100
9       50      50      200

20
No      node1   node2   Radius  E
1       1       5       1.5     200.0
2       2       6       1.5     200.0
3       3       7       1.5     200.0
4       4       8       1.5     200.0
5       5       6       1.5     200.0
6       6       7       1.5     200.0
7       7       8       1.5     200.0
8       8       5       1.5     200.0
9       5       9       1.5     200.0
10      6       9       1.5     200.0
11      7       9       1.5     200.0
12      8       9       1.5     200.0
13      1       6       1.5     200.0
14      2       5       1.5     200.0
15      2       7       1.5     200.0
16      3       6       1.5     200.0
17      3       8       1.5     200.0
18      4       7       1.5     200.0
19      4       5       1.5     200.0
20      1       8       1.5     200.0
